timestamp,count,uniques,metric,value,rank,repo
2023-03-20 00:00:00+00:00,5,3,popular/paths,/snowplow/dbt-snowplow-mobile/tree/main/models/sessions,4,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,4,3,popular/paths,/snowplow/dbt-snowplow-mobile/tree/main/docs,5,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,4,3,popular/paths,/snowplow/dbt-snowplow-mobile/tree/main/models/base,6,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,4,3,popular/paths,/snowplow/dbt-snowplow-mobile/tree/main/models/base/scratch,7,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,4,2,popular/paths,/snowplow/dbt-snowplow-mobile/pulls,8,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,4,2,popular/paths,/snowplow/dbt-snowplow-mobile/tree/main/custom_example,9,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,3,2,popular/paths,/snowplow/dbt-snowplow-mobile/blob/main/models/sessions/sessions.yml,10,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,51,3,popular/referrers,github.com,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,25,12,popular/referrers,Google,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,2,2,popular/referrers,cnissues.atlassian.net,3,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,31,3,views,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,16,3,views,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,11,3,views,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,11,3,views,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,2,2,views,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,13,3,views,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,2,2,views,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,2,2,views,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,72,4,views,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,15,4,views,,,dbt-snowplow-normalize
2023-03-06 00:00:00+00:00,10,10,clones,,,dbt-snowplow-normalize
2023-03-07 00:00:00+00:00,23,22,clones,,,dbt-snowplow-normalize
2023-03-08 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-09 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-10 00:00:00+00:00,26,23,clones,,,dbt-snowplow-normalize
2023-03-11 00:00:00+00:00,24,22,clones,,,dbt-snowplow-normalize
2023-03-12 00:00:00+00:00,24,23,clones,,,dbt-snowplow-normalize
2023-03-13 00:00:00+00:00,24,22,clones,,,dbt-snowplow-normalize
2023-03-14 00:00:00+00:00,37,26,clones,,,dbt-snowplow-normalize
2023-03-15 00:00:00+00:00,39,26,clones,,,dbt-snowplow-normalize
2023-03-16 00:00:00+00:00,26,22,clones,,,dbt-snowplow-normalize
2023-03-17 00:00:00+00:00,30,21,clones,,,dbt-snowplow-normalize
2023-03-18 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-19 00:00:00+00:00,24,24,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,25,16,clones,,,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,30,7,popular/paths,/snowplow/dbt-snowplow-media-player,1,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,24,4,popular/paths,/snowplow/dbt-snowplow-media-player/pull/38,2,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,23,4,popular/paths,/snowplow/dbt-snowplow-media-player/pull/34,3,dbt-snowplow-normalize
2023-03-20 00:00:00+00:00,14,2,popular/paths,/snowplow/dbt-snowplow-media-player/pulls,4,dbt-snowplow-normalize
